Date,Open,High,Low,Close,Adj Close,Volume
"13-May-15	""6",6933.80,6989.91 ,6920.65 ,6949.63 ,6949.63 ,6949.63 
"14-May-15	""6",6949.63,6977.93 ,6884.63 ,6973.04 ,6973.04 ,6973.04 
"15-May-15	""6",6973.04,7009.41 ,6937.12 ,6960.49 ,6960.49 ,6960.49 
"18-May-15	""6",6960.49,7015.49 ,6931.64 ,6968.87 ,6968.87 ,6968.87 
"19-May-15	""6",6968.87,7011.35 ,6968.87 ,6995.10 ,6995.10 ,6995.10 
"20-May-15	""6",6995.10,7018.70 ,6962.06 ,7007.26 ,7007.26 ,7007.26 
"21-May-15	""7",7007.26,7026.01 ,6994.26 ,7013.47 ,7013.47 ,7013.47 
"22-May-15	""7",7013.47,7061.66 ,7013.47 ,7031.72 ,7031.72 ,7031.72 
"26-May-15	""7",7031.72,7039.55 ,6930.28 ,6948.99 ,6948.99 ,6948.99 
"27-May-15	""6",6948.99,7054.14 ,6948.62 ,7033.33 ,7033.33 ,7033.33 
"28-May-15	""7",7033.33,7049.62 ,7005.88 ,7040.92 ,7040.92 ,7040.92 
"29-May-15	""7",7040.92,7069.93 ,6967.92 ,6984.43 ,6984.43 ,6984.43 
"1-Jun-15	""6",6984.43,7037.58 ,6942.66 ,6953.58 ,6953.58 ,6953.58 
"2-Jun-15	""6",6953.58,6972.25 ,6872.12 ,6928.27 ,6928.27 ,6928.27 
"3-Jun-15	""6",6928.27,6985.69 ,6901.79 ,6950.46 ,6950.46 ,6950.46 
"4-Jun-15	""6",6950.46,6950.46 ,6838.95 ,6859.24 ,6859.24 ,6859.24 
"5-Jun-15	""6",6859.24,6859.24 ,6785.15 ,6804.60 ,6804.60 ,6804.60 
"8-Jun-15	""6",6804.60,6827.16 ,6781.66 ,6790.04 ,6790.04 ,6790.04 
"9-Jun-15	""6",6790.04,6803.75 ,6736.88 ,6753.80 ,6753.80 ,6753.80 
"10-Jun-15	""6",6753.80,6843.57 ,6734.15 ,6830.27 ,6830.27 ,6830.27 
"11-Jun-15	""6",6830.27,6870.19 ,6807.29 ,6846.74 ,6846.74 ,6846.74 
"12-Jun-15	""6",6846.74,6846.74 ,6760.06 ,6784.92 ,6784.92 ,6784.92 
"15-Jun-15	""6",6784.92,6784.92 ,6708.50 ,6710.52 ,6710.52 ,6710.52 
"16-Jun-15	""6",6710.52,6723.49 ,6656.90 ,6710.10 ,6710.10 ,6710.10 
"17-Jun-15	""6",6710.10,6731.54 ,6665.95 ,6680.55 ,6680.55 ,6680.55 
"18-Jun-15	""6",6680.55,6707.88 ,6625.16 ,6707.88 ,6707.88 ,6707.88 
"19-Jun-15	""6",6707.88,6759.29 ,6691.82 ,6710.45 ,6710.45 ,6710.45 
"22-Jun-15	""6",6710.45,6825.67 ,6710.45 ,6825.67 ,6825.67 ,6825.67 
"23-Jun-15	""6",6825.67,6856.49 ,6825.67 ,6834.87 ,6834.87 ,6834.87 
"24-Jun-15	""6",6834.87,6873.43 ,6834.32 ,6844.80 ,6844.80 ,6844.80 
"25-Jun-15	""6",6844.80,6869.04 ,6798.80 ,6807.82 ,6807.82 ,6807.82 
"26-Jun-15	""6",6807.82,6807.82 ,6731.13 ,6753.70 ,6753.70 ,6753.70 
"29-Jun-15	""6",6753.70,6753.70 ,6598.64 ,6620.48 ,6620.48 ,6620.48 
"30-Jun-15	""6",6620.48,6620.75 ,6520.98 ,6520.98 ,6520.98 ,6520.98 
"1-Jul-15	""6",6520.98,6637.34 ,6520.98 ,6608.59 ,6608.59 ,6608.59 
"2-Jul-15	""6",6608.59,6647.70 ,6600.37 ,6630.47 ,6630.47 ,6630.47 
"3-Jul-15	""6",6630.47,6630.75 ,6572.46 ,6585.78 ,6585.78 ,6585.78 
"6-Jul-15	""6",6585.78,6585.78 ,6506.71 ,6535.68 ,6535.68 ,6535.68 
"7-Jul-15	""6",6535.68,6543.80 ,6432.21 ,6432.21 ,6432.21 ,6432.21 
"8-Jul-15	""6",6432.21,6515.06 ,6430.36 ,6490.70 ,6490.70 ,6490.70 
"9-Jul-15	""6",6490.70,6594.18 ,6490.70 ,6581.63 ,6581.63 ,6581.63 
"10-Jul-15	""6",6581.63,6687.57 ,6581.63 ,6673.38 ,6673.38 ,6673.38 
"13-Jul-15	""6",6673.38,6743.05 ,6673.38 ,6737.95 ,6737.95 ,6737.95 
"14-Jul-15	""6",6737.95,6753.75 ,6710.62 ,6753.75 ,6753.75 ,6753.75 
"15-Jul-15	""6",6753.75,6775.91 ,6728.49 ,6753.75 ,6753.75 ,6753.75 
"16-Jul-15	""6",6753.75,6805.14 ,6752.09 ,6796.45 ,6796.45 ,6796.45 
"17-Jul-15	""6",6796.45,6799.78 ,6764.80 ,6775.08 ,6775.08 ,6775.08 
